Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,16,NEW,Sleeping Time for Different people,83127,2026.06.15,,Speed McQueen,"14,200,000",https://img.youtube.com/vi/mMD7MN_xJaI/mqdefault.jpg,mMD7MN_xJaI
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,17,+186,타이머 틱택토!,82812,2026.06.14,,The Smily Fam,"3,640,000",https://img.youtube.com/vi/L89u8Cmc6X4/mqdefault.jpg,L89u8Cmc6X4
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,18,NEW,ЧАПИТОСИКИ ПОТЕРЯЛИСЬ😥😥😥,81607,2026.06.03,"#shorts,#чапитося",Chapitosiki,"34,600,000",https://img.youtube.com/vi/ztmVs-yIum4/mqdefault.jpg,ztmVs-yIum4
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,19,NEW,Imagine Complaining About A Wave😭,81158,2026.06.15,"#ishowspeed,#football",Goofy Recaps,"3,400,000",https://img.youtube.com/vi/LfLiJGEW6y4/mqdefault.jpg,LfLiJGEW6y4
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,20,-2,이 여자의 차는 엄청 크네요! 🚗😲,80066,2026.06.13,,Anthmix,"7,260,000",https://img.youtube.com/vi/JEFCk3PH3Bk/mqdefault.jpg,JEFCk3PH3Bk
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,21,NEW,Sophia got SO MAD at me for her last one 😳😭💸,80009,2026.06.15,"#besties,#bestiesforever",Sophia & Noelle,"946,000",https://img.youtube.com/vi/4mooSosV1u4/mqdefault.jpg,4mooSosV1u4
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,22,-7,Ranking Best Clingy Cat Moments,78969,2026.06.11,,Mugi Ranks,"736,000",https://img.youtube.com/vi/lVg6kNe2Wg8/mqdefault.jpg,lVg6kNe2Wg8
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,23,-12,누가 가장 강한 스트리머일까요?,78780,2026.04.04,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/_JUlWtSCNbs/mqdefault.jpg,_JUlWtSCNbs
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,24,NEW,스토리타임! 우리 반이 계획했던 완벽한 졸업반 장난!,76104,2026.06.15,,Little Remy Food 🐭🍝,"3,880,000",https://img.youtube.com/vi/mWW7DzNcmgI/mqdefault.jpg,mWW7DzNcmgI
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,25,-6,모든 유튜브 플레이 버튼,75309,2026.05.20,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/SllXaJiQjBA/mqdefault.jpg,SllXaJiQjBA
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,26,NEW,The saddest thing about man.,74899,2026.06.14,,Elevission,"145,000",https://img.youtube.com/vi/9iu0go-cCo4/mqdefault.jpg,9iu0go-cCo4
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,27,-22,황금 만두를 잘랐다고? ✂️,74253,2026.06.09,,Zhong,"72,600,000",https://img.youtube.com/vi/37A6ouoqAfk/mqdefault.jpg,37A6ouoqAfk
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,28,+10,정글에서 생존 기술을 뽐내보세요💦,73120,2026.05.03,"#캠핑,#야외활동",OUDOM SKILLS,"117,000",https://img.youtube.com/vi/6r-vofHRAFw/mqdefault.jpg,6r-vofHRAFw
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,29,-25,Others Humanity Moments Vs This Man ❤️‍🩹,71805,2026.06.10,,Atta_Editor,"169,000",https://img.youtube.com/vi/aijeMApGs5I/mqdefault.jpg,aijeMApGs5I
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,30,-20,세상에서 가장 빠른 데이트,71232,2026.05.13,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/hCuqh2NU2Yg/mqdefault.jpg,hCuqh2NU2Yg
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,31,-11,'67' 사건,70572,2026.06.14,,CircleToonsHD,"3,980,000",https://img.youtube.com/vi/Z6oRapNzTf8/mqdefault.jpg,Z6oRapNzTf8
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,32,NEW,mineplex in the big 2027,69329,2026.06.15,,camman18,"10,900,000",https://img.youtube.com/vi/_MwJtkhB9sI/mqdefault.jpg,_MwJtkhB9sI
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,33,-25,Mr. Popper's Penguins (2011),68544,2026.06.04,#shortvideo,JunkieMovie,"178,000",https://img.youtube.com/vi/HvERXIZ6jrk/mqdefault.jpg,HvERXIZ6jrk
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,34,-7,Which Pokemon Can You Lift?,67174,2026.06.10,"#shorts,#speediance",Browney,"12,100,000",https://img.youtube.com/vi/AyU9-f_iJ24/mqdefault.jpg,AyU9-f_iJ24
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,35,+300,his best friend for a reason,66979,2026.06.14,#homelander,Caske57,"1,220,000",https://img.youtube.com/vi/YwPW46jahiM/mqdefault.jpg,YwPW46jahiM
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,36,-20,I Got Called Fat,66687,2026.06.09,#shorts,Browney,"12,100,000",https://img.youtube.com/vi/WNYqS2462k0/mqdefault.jpg,WNYqS2462k0
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,37,+264,Testing the Viral Mayo Bottle Hack – Does It Really Work?,66030,2026.06.11,,Dobrovolskyi Chef,"3,710,000",https://img.youtube.com/vi/Xcqftqqu4tc/mqdefault.jpg,Xcqftqqu4tc
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,38,NEW,“Awe man I guess I’ll reschedule”,65493,2026.06.15,,Jordi,"5,000,000",https://img.youtube.com/vi/o1-exXMD2Gc/mqdefault.jpg,o1-exXMD2Gc
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,39,NEW,내 친구를 석방하라!,62294,2026.06.15,,JD Delay,"1,760,000",https://img.youtube.com/vi/9ll17SNu3Aw/mqdefault.jpg,9ll17SNu3Aw
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,40,-9,Underwater Wine Opening Method 🥂,61114,2026.06.13,"#shorts,#sciene",Curious as Hell,"229,000",https://img.youtube.com/vi/-Xd9Zcyy4AE/mqdefault.jpg,-Xd9Zcyy4AE
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,41,NEW,World Cup in USA vs Rest of World,60447,2026.06.15,,Speed McQueen,"14,200,000",https://img.youtube.com/vi/bGc-9KOKSv4/mqdefault.jpg,bGc-9KOKSv4
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,42,-14,구독자분들의 소원을 들어드립니다,60397,2026.05.08,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/B9LizOAAoLg/mqdefault.jpg,B9LizOAAoLg
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,43,-26,I Tried a Bag of Air from 2020.. 💨,59901,2026.06.14,"#relatablestories,#comedy",Tyler Vitelli,"7,520,000",https://img.youtube.com/vi/VB8G6aWcUEo/mqdefault.jpg,VB8G6aWcUEo
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,44,+61,When I bought a quirky water gun hahaha with something very new gun toy time to arrange it,59409,2025.07.05,,owen,"1,510,000",https://img.youtube.com/vi/l4YVD6SlRsw/mqdefault.jpg,l4YVD6SlRsw
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,45,-22,내성적인 이 남자가 드디어 짝사랑하던 상대에게 고백했다 ❤️,59392,2026.06.08,,Hublot Baggins,"6,360,000",https://img.youtube.com/vi/GvI-PmyL67Y/mqdefault.jpg,GvI-PmyL67Y
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,46,-40,Animating your Minecraft Ideas pt. 13,59373,2026.06.14,,GarrettTheCarrot,"5,670,000",https://img.youtube.com/vi/7iWEUQdLyJI/mqdefault.jpg,7iWEUQdLyJI
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,47,+481,갑자기 어디선가 툭 튀어나온 꼬맹이! 😭🐐,59007,2026.06.13,"#갑자기나옴,#NPC분위기",Foeko,"1,460,000",https://img.youtube.com/vi/VcVgCU8rU-g/mqdefault.jpg,VcVgCU8rU-g
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,48,-4,The Best Road Prank Ever,58181,2026.06.10,"#cars,#shorts",Felony Speeds,"60,599",https://img.youtube.com/vi/ZzTPOLJ3jMg/mqdefault.jpg,ZzTPOLJ3jMg
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,49,-25,랜덤 구독자에게 1만 달러를 주었습니다,58030,2026.05.30,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/y1UVAtHALaA/mqdefault.jpg,y1UVAtHALaA
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,50,-13,GTA V New Build a Queen Run Rumi vs Zoey Funny Epic Challenge!,56871,2026.04.13,"#rumi,#huntrix",BeamNg  Heroes,"5,650,000",https://img.youtube.com/vi/XWm7e26dUqw/mqdefault.jpg,XWm7e26dUqw
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,51,NEW,사람들이 너무 지쳤어요 😭,56234,2026.06.15,"#asmongold,#asmon",StompnWorld,"246,000",https://img.youtube.com/vi/t6cAFDu04gs/mqdefault.jpg,t6cAFDu04gs
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,52,+81,Cleaning The Dirtiest FIFA World Cup 2026 Trionda Match Ball Ever!,56177,2026.06.06,#FIFAWorldCup,Cleaning The Dirtiest,"2,160,000",https://img.youtube.com/vi/etlY0Z8Amfo/mqdefault.jpg,etlY0Z8Amfo
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,53,+24,구글 번역기 없었으면 어쩔 뻔했어 😂 (풀 영상은 저희 채널에서 확인하세요),56020,2026.06.10,,Discover Connection,"1,620,000",https://img.youtube.com/vi/kNiNN6wfHaI/mqdefault.jpg,kNiNN6wfHaI
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,54,NEW,내 창자와 잔디를 모두 깎아버린 남자의 이야기,56005,2026.06.15,"#썰,#장폐색",Micarah Tewers,"2,600,000",https://img.youtube.com/vi/eissJJhh97M/mqdefault.jpg,eissJJhh97M
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,55,-10,FIFA와 YouTube에서 보낸 소포를 받았어요! 🤩⚽️🏆  @YouTube @fifa,55949,2026.06.11,"#광고,#FIFAWorldCup",Jenny Hoyos,"11,700,000",https://img.youtube.com/vi/cvMxrZ81UEs/mqdefault.jpg,cvMxrZ81UEs
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,56,-13,중장비로 피자를 만들어 봤어요,55371,2025.09.24,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/wIpWCJKfRXs/mqdefault.jpg,wIpWCJKfRXs
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,57,NEW,The Cat Who Stole Romeo and Juliet's Final Scene 🐈🎭,55065,2026.06.14,"#NatureIsWild,#Animals",Terraon,"99,000",https://img.youtube.com/vi/CwhJB6esCio/mqdefault.jpg,CwhJB6esCio
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,58,-16,The Notorious B.I.G. Meets Michael Jackson,54944,2026.05.24,,Marshmallows Diary,"67,100",https://img.youtube.com/vi/94PBapWU7W0/mqdefault.jpg,94PBapWU7W0
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,59,-19,세계에서 가장 유연한 소녀와 공중에 뜬 골드맨 동상! 이게 어떻게 가능하지? @silvermanstatueofficial,53816,2026.05.21,,Liberty Barros,"6,500,000",https://img.youtube.com/vi/LXvwAh6XOnM/mqdefault.jpg,LXvwAh6XOnM
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,60,-47,어떤 공이 가장 높이 튈까요!?,53087,2026.06.09,,Team Jesser,"5,390,000",https://img.youtube.com/vi/0LANou7aoq0/mqdefault.jpg,0LANou7aoq0
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,61,-22,이게 들어가면 구독해야 합니다,52400,2026.05.18,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/dqpCvSU-ECE/mqdefault.jpg,dqpCvSU-ECE
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,62,-40,Rakai Always Wearing Double Durags 😂,52370,2026.06.13,"#kaicenat,#rakai",WClipMedia,"296,000",https://img.youtube.com/vi/s1dWPWS_5kk/mqdefault.jpg,s1dWPWS_5kk
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,63,NEW,Feeling princessy 👰🏻‍♀️💖,51570,2026.06.15,,SIMJI,"11,800,000",https://img.youtube.com/vi/b0kzWWaQIA8/mqdefault.jpg,b0kzWWaQIA8
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,64,NEW,캡콤이 레지던트 이블 팬 개발자들을 일본으로 초청했습니다.,51438,2026.06.14,,Greylin,"36,400",https://img.youtube.com/vi/FJ_bIPBITqM/mqdefault.jpg,FJ_bIPBITqM
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,65,NEW,minecraft lines tier list,49333,2026.06.15,"#shorts,#royalpear",RoyalPear,"6,110,000",https://img.youtube.com/vi/vs0uFtXBZcE/mqdefault.jpg,vs0uFtXBZcE
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,66,-3,How Many People Can Fit Inside a Balloon?,48930,2026.03.16,,Topper Guild,"91,800,000",https://img.youtube.com/vi/acz7tZMheEA/mqdefault.jpg,acz7tZMheEA
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,67,+35,Biker Gets Yelled At For Lane Splitting (Credit: @5alexis_s_b on IG),48909,2026.06.10,,Quick Rev,"46,600",https://img.youtube.com/vi/_3UWai7afOg/mqdefault.jpg,_3UWai7afOg
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,68,+33,Will You Choose Jesus? 🤔🙏,47711,2026.06.10,"#Jesus,#Christ",Faithful Steps,"2,690,000",https://img.youtube.com/vi/RlIv5GMK7rU/mqdefault.jpg,RlIv5GMK7rU
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,69,+209,Konpira Fune Fune Challenge 🍶,47132,2026.06.12,"#shorts,#sciene",Curious as Hell,"229,000",https://img.youtube.com/vi/2YgL4SKyTk4/mqdefault.jpg,2YgL4SKyTk4
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,70,+847,We ALL love doing this,47077,2026.06.15,"#relatablestories,#comedy",Tyler Vitelli,"7,520,000",https://img.youtube.com/vi/MyzHsdLKJ70/mqdefault.jpg,MyzHsdLKJ70
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,71,+2,day 34 of 3d printig a ghost for every subscriber,46845,2026.06.11,"#3dprinting,#3dprinted",Hobby Printing,"224,000",https://img.youtube.com/vi/LXoDl6u2_DI/mqdefault.jpg,LXoDl6u2_DI
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,72,+22,Build a Funny Body Game! 🧩😄 | Fun Kids Learning,46831,2026.03.24,"#kidsvideo,#funnygame",Toony Friends TV,"1,300,000",https://img.youtube.com/vi/YdSqLx5M7pc/mqdefault.jpg,YdSqLx5M7pc
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,73,NEW,You can cook very well. 🤖🤯,46574,2026.06.14,,Shahriar Hosan,"537,000",https://img.youtube.com/vi/ZbDRUXmco0k/mqdefault.jpg,ZbDRUXmco0k
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,74,+16,THAT WAS MY DRINK! 🥤😡,46402,2026.06.12,,Strong Brain,"1,930,000",https://img.youtube.com/vi/tErb1KWhEEY/mqdefault.jpg,tErb1KWhEEY
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,75,NEW,you trade for rare items… Part 7,46357,2026.06.15,#pov,Jessica Kaylee,"12,700,000",https://img.youtube.com/vi/0Ug8pt3hgPM/mqdefault.jpg,0Ug8pt3hgPM
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,76,+66,tbf respect the prep time 😆🤣,46156,2026.06.12,"#firstdate,#getreadywithme",Dale Valor Dating,"47,600",https://img.youtube.com/vi/d1EUB4C3NUA/mqdefault.jpg,d1EUB4C3NUA
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,77,+74,Ranking Best Cats Stealing The Spotlight,46011,2026.04.21,,Mugi Ranks,"736,000",https://img.youtube.com/vi/xORQKLNTMoc/mqdefault.jpg,xORQKLNTMoc
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,78,NEW,인상적인 영상 순위 👍,45807,2026.06.15,#최고,EpicFraee,"382,000",https://img.youtube.com/vi/kBQM0nbbdHg/mqdefault.jpg,kBQM0nbbdHg
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,79,NEW,He Saved An ENTIRE Island,45294,2026.06.15,,Andy Jiang,"3,370,000",https://img.youtube.com/vi/0tr-tj6A3Pk/mqdefault.jpg,0tr-tj6A3Pk
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,80,-47,7단 속도 계주 경주! 여자 vs 남자,44780,2026.06.14,,The Smily Fam,"3,640,000",https://img.youtube.com/vi/l0ckcqNbdMs/mqdefault.jpg,l0ckcqNbdMs
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,81,+8,제가 가진 모든 유튜브 플레이 버튼,43805,2025.08.16,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/R_BmT1OJw98/mqdefault.jpg,R_BmT1OJw98
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,82,+37,라티나는 그걸 좋아했어요... 😉,43651,2026.06.11,,TopNotch Idiots,"4,830,000",https://img.youtube.com/vi/FEiQWL89RGs/mqdefault.jpg,FEiQWL89RGs
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,83,+392,그는 이 사진을 위해 정말로 직장을 희생했네요! 😭📺,43251,2026.06.14,"#카메라맨,#공항실수",Foeko,"1,460,000",https://img.youtube.com/vi/O_VgS0kRH38/mqdefault.jpg,O_VgS0kRH38
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,84,+162,수학 선생님 트라우마 걸리게 하는 법,43237,2026.06.10,"#미술,#공포",Lukeart.mp4,"285,000",https://img.youtube.com/vi/Up_0glj6DL8/mqdefault.jpg,Up_0glj6DL8
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,85,-44,엄마가 야스민에게 손 씻기가 왜 중요한지 보여줘요! 재미있는 세균 실험 🧼,42970,2026.05.02,"#twintwin,#손씻기",Twin Twin,"5,280,000",https://img.youtube.com/vi/URuRtUh3TcA/mqdefault.jpg,URuRtUh3TcA
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,86,+61,Ranking Best Insane Skills Moments 🥶,42446,2026.06.09,"#skills,#shorts",Top Tier Shorts,"16,000",https://img.youtube.com/vi/Wpmp-YZg6yw/mqdefault.jpg,Wpmp-YZg6yw
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,87,NEW,🍎Am I a boy or a girl??,41849,2026.06.15,"#animation,#storytime",Ringo Tsuga,"707,000",https://img.youtube.com/vi/mWG7m8bc7kQ/mqdefault.jpg,mWG7m8bc7kQ
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,88,-53,Powerlifter vs Strongman Grip Strength Battle!!,41777,2026.06.09,"#gymshorts,#gym",Elijah Jenkins,"111,000",https://img.youtube.com/vi/lQsqrLevhJo/mqdefault.jpg,lQsqrLevhJo
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,89,+112,그녀는 실제로 칼을 가지고 있었다,41605,2026.06.09,"#piffthemagicdragon,#liveinvegas",Piff the Magic Dragon,"187,000",https://img.youtube.com/vi/IZxbjKoyJqY/mqdefault.jpg,IZxbjKoyJqY
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,90,-21,Put in 0.3x💀,41468,2026.06.06,"#trollface,#troll",DARKSWORD EDITZ,"2,490,000",https://img.youtube.com/vi/1yojfsG47-I/mqdefault.jpg,1yojfsG47-I
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,91,-65,,41205,2026.06.08,"#shorts,#foryou",ThatClutchGuy,"117,000",https://img.youtube.com/vi/NwQgO9jsFlk/mqdefault.jpg,NwQgO9jsFlk
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,92,+12,This Is Why Dark British Comedy Will Always Be Funny 👨‍💼😂,41151,2026.06.13,,Black Destiny,"29,200",https://img.youtube.com/vi/0aC4tT6bSfs/mqdefault.jpg,0aC4tT6bSfs
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,93,-41,"버튼을 누르면, 천 달러",41095,2026.05.16,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/QAkEMtJpq3c/mqdefault.jpg,QAkEMtJpq3c
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,94,+160,영업 종료 직전 주문 순위 매기기...😂💀 [2부],40846,2026.06.10,#숏츠,Show Less,"38,500",https://img.youtube.com/vi/K_49ExQx4vA/mqdefault.jpg,K_49ExQx4vA
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,95,-47,This Is Why Only Mitchell And Webb British Comedy Was Underrated 😂😂,40503,2026.06.09,,Black Destiny,"29,200",https://img.youtube.com/vi/URehubVbf2k/mqdefault.jpg,URehubVbf2k
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,96,NEW,마지막 수는 반칙이었어 💀,40490,2026.06.14,"#트롤페이스,#트롤페이스편집",Samim Bros,"106,000",https://img.youtube.com/vi/2ZdZZaClZ6M/mqdefault.jpg,2ZdZZaClZ6M
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,97,-94,I Investigated the Hidden Cables in the Ocean 😳,40342,2026.06.14,,Sean Andrew,"7,240,000",https://img.youtube.com/vi/QSEabkJ4Kkc/mqdefault.jpg,QSEabkJ4Kkc
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,98,NEW,Descansen en paz leyendas 🫡 gaspi y Oliver tree,39966,2026.06.15,,DJ.JEFFFY,"1,880,000",https://img.youtube.com/vi/40lmQEc59HU/mqdefault.jpg,40lmQEc59HU
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,99,+66,"계산원이 수학을 너무 못해서 할인받았다 😭🌮 현재 30개 이상의 매장에서 판매 중 📍 AZ, TX, MO, UT, F",39629,2026.06.09,"#비리아,#타코",The Taco Spot,"592,000",https://img.youtube.com/vi/hsIOpi0zECg/mqdefault.jpg,hsIOpi0zECg
